latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.054447,-114.07635,1043.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),cloud_cover (%),precipitation (mm),wind_speed_10m (km/h),wind_direction_10m (°),pressure_msl (hPa),visibility (m),apparent_temperature (°C),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),surface_pressure (hPa),evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_gusts_10m (km/h),uv_index (),boundary_layer_height (m)
2022-01-01T00:00,-22.8,63,-27.9,2,0.00,7.4,203,1021.0,22200.00,-27.9,2,0,0,887.2,-0.00,0.04,8.3,0.05,NaN
2022-01-01T01:00,-24.1,61,-29.5,2,0.00,4.3,228,1020.4,20800.00,-28.8,2,0,0,886.1,-0.00,0.03,5.0,0.00,NaN
2022-01-01T02:00,-24.8,58,-30.7,1,0.00,2.9,263,1020.0,23700.00,-29.3,1,0,0,885.4,-0.00,0.03,7.9,0.00,NaN
2022-01-01T03:00,-24.5,54,-31.2,3,0.00,5.5,293,1019.7,24500.00,-29.4,3,0,0,885.3,-0.00,0.04,9.4,0.00,NaN
2022-01-01T04:00,-24.2,51,-31.5,3,0.00,9.9,314,1019.1,25500.00,-29.8,3,0,0,884.9,-0.00,0.04,10.8,0.00,NaN
2022-01-01T05:00,-24.9,56,-31.1,2,0.00,9.4,293,1018.8,21500.00,-30.3,2,0,0,884.3,-0.00,0.04,13.3,0.00,NaN
2022-01-01T06:00,-25.2,54,-31.8,50,0.00,8.9,302,1017.9,22900.00,-30.6,50,0,0,883.4,-0.00,0.04,13.0,0.00,NaN
2022-01-01T07:00,-25.3,54,-31.9,50,0.00,10.0,296,1017.6,21600.00,-30.8,50,0,0,883.1,-0.00,0.04,14.4,0.00,NaN
2022-01-01T08:00,-25.9,59,-31.5,100,0.00,12.8,308,1016.2,17700.00,-31.8,100,0,0,881.5,-0.00,0.03,16.9,0.00,NaN
2022-01-01T09:00,-25.9,58,-31.7,59,0.00,12.6,307,1015.1,21400.00,-31.8,59,0,0,880.6,-0.00,0.03,16.9,0.00,NaN
