latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.054447,-114.07635,1043.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),cloud_cover (%),precipitation (mm),wind_speed_10m (km/h),wind_direction_10m (°),pressure_msl (hPa),visibility (m),apparent_temperature (°C),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),surface_pressure (hPa),evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_gusts_10m (km/h),uv_index (),boundary_layer_height (m)
2024-01-01T00:00,7.0,52,-2.2,100,0.00,9.4,310,1012.4,36100.00,3.2,4,100,0,892.9,-0.00,0.48,41.0,0.05,NaN
2024-01-01T01:00,7.0,50,-2.7,100,0.00,19.0,307,1013.0,36600.00,1.8,100,100,0,893.4,-0.00,0.50,39.2,0.00,NaN
2024-01-01T02:00,7.1,47,-3.4,100,0.00,12.3,339,1013.6,41300.00,2.7,8,100,0,893.9,-0.00,0.54,26.6,0.00,NaN
2024-01-01T03:00,5.7,59,-1.7,59,0.00,11.4,13,1014.1,30400.00,1.7,15,59,0,893.8,-0.00,0.38,22.3,0.00,NaN
2024-01-01T04:00,5.6,60,-1.6,100,0.00,9.5,331,1014.8,29800.00,1.8,81,100,0,894.4,-0.00,0.36,13.7,0.00,NaN
2024-01-01T05:00,3.8,80,0.6,62,0.00,15.9,295,1015.7,17700.00,-0.6,62,40,0,894.5,-0.00,0.16,31.7,0.00,NaN
2024-01-01T06:00,3.0,84,0.6,100,0.20,6.4,308,1015.8,12700.00,0.1,100,84,0,894.2,-0.00,0.12,23.4,0.00,NaN
2024-01-01T07:00,3.3,91,2.0,100,0.20,8.2,311,1016.6,14000.00,0.3,100,47,0,895.1,0.00,0.07,25.2,0.00,NaN
2024-01-01T08:00,3.3,89,1.7,100,0.20,8.7,308,1016.9,14800.00,0.2,100,33,0,895.3,0.00,0.09,23.8,0.00,NaN
2024-01-01T09:00,2.6,84,0.2,100,0.00,7.1,330,1017.4,16200.00,-0.5,100,2,0,895.5,0.00,0.12,18.0,0.00,NaN
2024-01-01T10:00,2.6,83,-0.0,45,0.00,9.4,328,1018.4,16700.00,-0.9,45,0,0,896.3,-0.00,0.13,15.8,0.00,NaN
2024-01-01T11:00,1.9,81,-1.0,67,0.00,8.7,355,1019.0,17400.00,-1.7,67,50,0,896.6,-0.00,0.13,27.0,0.00,NaN
2024-01-01T12:00,1.3,80,-1.7,33,0.00,6.9,317,1019.5,18800.00,-2.0,6,33,0,896.8,0.00,0.13,14.0,0.00,NaN
2024-01-01T13:00,1.1,78,-2.3,2,0.00,5.8,330,1020.1,19500.00,-2.2,2,0,0,897.2,-0.00,0.15,9.7,0.00,NaN
2024-01-01T14:00,0.3,76,-3.5,1,0.00,6.9,313,1020.3,20100.00,-3.3,1,0,0,897.1,-0.00,0.15,8.6,0.00,NaN
2024-01-01T15:00,-0.2,78,-3.5,0,0.00,6.8,270,1020.5,19700.00,-3.8,0,0,0,897.1,-0.00,0.13,9.7,0.00,NaN
2024-01-01T16:00,-0.5,74,-4.5,7,0.00,5.2,282,1021.2,22100.00,-4.0,0,7,0,897.5,-0.00,0.15,9.7,0.00,NaN
